Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Occipital lobe	130/10045	5.954266222990452E-25	1.7565085357821833E-22	0	0	9.310064116418125	519.3202115951996	CHRM3;RAB3A;CRTC1;CTNND2;ABAT;FAIM2;ENO2;CNDP2;SCAMP5;RIMS2;FAM19A2;FAM19A1;PIP4K2C;BSN;ANKS1B;RBFOX1;SLC15A2;TSPYL1;UNC5A;SLC6A17;LMO4;HPCAL4;RUNDC3A;GABRG2;RNF41;MAPK8IP1;DKK3;CACNB1;KIAA1217;CACNB2;OLFM1;SLC9A6;SCN8A;MAP7D1;HECW1;EEF1A2;ABCG4;TSPYL4;GPM6A;RTN1;NDRG3;PCDH10;STXBP1;CEND1;CPLX2;NDRG2;ACTR3B;EPB49;KLC2;NEURL;MAP2;VPS8;TSPAN7;PLXNA4;CADM3;CADM4;IQSEC2;RHBDD2;HOOK3;SMARCA2;CORO2B;SNAP91;SYT7;GNAO1;FER;LRFN5;RALYL;DLG1;PPP1R1B;SPATS2L;FXYD7;RLTPR;CNIH2;DPP10;GABRB1;GDI1;FAM57B;KCNC2;DIRAS1;GRM5;NUDCD3;LRRTM4;LRRTM1;BAI2;SH3BGRL2;SULT4A1;YWHAG;ANKRD6;ZNF365;PDE4D;KCNAB2;DUSP8;DNM1;SYN1;ANO3;MPPED1;KCNMA1;MAPRE3;PLCB1;VSTM2A;INA;VAMP2;RABGAP1;DCTN1;PHYHIP;MLLT6;KIAA0513;ABLIM2;ZNRF3;SV2B;CAMK2N2;KIAA1324;SLIT1;CTNNA2;SNCB;CA11;KCNB1;AGK;GAD1;KIAA1045;HTR5A;TUBB4A;GRIN1;NECAP1;PPP2R2C;RAB15;LYRM5;EBAG9;HCN1;CDK5R1
Parietal lobe	127/9921	8.167123501660344E-23	1.2046507164949007E-20	0	0	7.675011111244579	390.3460024700155	CHRM3;RAB3A;CRTC1;CTNND2;ABAT;FAIM2;ENO2;CNDP2;SCAMP5;FAM19A2;FAM19A1;PIP4K2C;BSN;ANKS1B;RBFOX1;SLC15A2;TSPYL1;UNC5A;SLC6A17;LMO4;HPCAL4;RUNDC3A;GABRG2;RNF41;MAPK8IP1;DKK3;CACNB1;KIAA1217;CACNB2;OLFM1;SLC9A6;SCN8A;MAP7D1;HECW1;EEF1A2;ABCG4;TSPYL4;GPM6A;RTN1;NDRG3;PCDH10;STXBP1;CEND1;CPLX2;NDRG2;ACTR3B;EPB49;KLC2;NEURL;MAP2;VPS8;TSPAN7;PLXNA4;CADM3;CADM4;IQSEC2;RHBDD2;HOOK3;SMARCA2;CORO2B;SNAP91;SYT7;GNAO1;FER;LRFN5;RALYL;DLG1;PPP1R1B;SPATS2L;FXYD7;RLTPR;CNIH2;DPP10;GABRB1;GDI1;FAM57B;KCNC2;DIRAS1;GRM5;NUDCD3;LRRTM4;LRRTM1;BAI2;SH3BGRL2;SULT4A1;YWHAG;ANKRD6;ZNF365;PDE4D;KCNAB2;DNM1;SYN1;ANO3;MPPED1;KCNMA1;MAPRE3;PLCB1;VSTM2A;INA;VAMP2;RABGAP1;DCTN1;PHYHIP;MLLT6;KIAA0513;ABLIM2;ZNRF3;SV2B;CAMK2N2;KIAA1324;SLIT1;CTNNA2;SNCB;CA11;KCNB1;AGK;GAD1;KIAA1045;HTR5A;TUBB4A;GRIN1;NECAP1;PPP2R2C;RAB15;EBAG9;HCN1;CDK5R1
Frontal lobe	135/11591	2.0301091894824433E-22	1.9962740363244026E-20	0	0	10.998603351955307	549.3668462603674	CHRM3;RAB3A;CRTC1;CTNND2;WIPF3;ABAT;FAIM2;KNDC1;ENO2;CNDP2;SCAMP5;RIMS2;FAM19A2;FAM19A1;PIP4K2C;BSN;ANKS1B;RBFOX1;SLC15A2;TSPYL1;UNC5A;SLC6A17;LMO4;HPCAL4;RUNDC3A;GABRG2;RNF41;MAPK8IP1;DKK3;CACNB1;KIAA1217;CACNB2;OLFM1;SLC9A6;SCN8A;MAP7D1;HECW1;EEF1A2;ABCG4;TSPYL4;GPM6A;RTN1;NDRG3;PCDH10;STXBP1;CEND1;CPLX2;NDRG2;ACTR3B;EPB49;CPLX1;KLC2;NEURL;MAP2;VPS8;CASKIN1;TSPAN7;PLXNA4;ANKRD34A;CADM3;CADM4;IQSEC2;RHBDD2;HOOK3;SMARCA2;CORO2B;SNAP91;SYT7;GNAO1;FER;LRFN5;RALYL;DLG1;PPP1R1B;SPATS2L;FXYD7;RLTPR;CNIH2;DPP10;GABRB1;GDI1;KCNC2;DIRAS1;SLC35F1;GRM5;NUDCD3;LRRTM4;LRRTM1;BAI2;SH3BGRL2;SULT4A1;YWHAG;DLGAP4;ANKRD6;ZNF365;PDE4D;KCNAB2;DNM1;SYN1;ANO3;KCNMA1;MAPRE3;PLCB1;VSTM2A;INA;VAMP2;RABGAP1;DCTN1;PHYHIP;MLLT6;KIAA0513;ABLIM2;ZNRF3;SV2B;CAMK2N2;KIAA1324;SLIT1;CTNNA2;SNCB;CA11;KCNB1;AGK;GAD1;KIAA1045;HTR5A;TUBB4A;GRIN1;NECAP1;PPP2R2C;RAB15;LYRM5;EBAG9;KCNK4;HCN1;CDK5R1
Temporal lobe	117/8425	5.050447564691151E-22	3.724705078959724E-20	0	0	6.023270743058899	295.36550770253166	CHRM3;RAB3A;CRTC1;CTNND2;ABAT;FAIM2;ENO2;SCAMP5;FAM19A2;FAM19A1;PIP4K2C;BSN;ANKS1B;SLC15A2;TSPYL1;UNC5A;LMO4;HPCAL4;RUNDC3A;GABRG2;RNF41;MAPK8IP1;DKK3;CACNB1;KIAA1217;CACNB2;OLFM1;SLC9A6;SCN8A;MAP7D1;HECW1;EEF1A2;ABCG4;TSPYL4;GPM6A;RTN1;NDRG3;PCDH10;STXBP1;CPLX2;NDRG2;ACTR3B;EPB49;KLC2;NEURL;MAP2;VPS8;TSPAN7;PLXNA4;CADM3;CADM4;IQSEC2;RHBDD2;HOOK3;SMARCA2;CORO2B;SNAP91;SYT7;GNAO1;FER;LRFN5;RALYL;DLG1;SPATS2L;FXYD7;CNIH2;DPP10;GABRB1;GDI1;KCNC2;DIRAS1;GRM5;NUDCD3;LRRTM4;LRRTM1;BAI2;SH3BGRL2;SULT4A1;YWHAG;ANKRD6;ZNF365;PDE4D;KCNAB2;DNM1;SYN1;ANO3;KCNMA1;MAPRE3;PLCB1;VSTM2A;INA;VAMP2;RABGAP1;DCTN1;PHYHIP;MLLT6;ABLIM2;ZNRF3;SV2B;CAMK2N2;KIAA1324;SLIT1;CTNNA2;SNCB;CA11;KCNB1;AGK;GAD1;KIAA1045;HTR5A;GRIN1;NECAP1;PPP2R2C;RAB15;EBAG9;HCN1;CDK5R1
Brain	139/13237	2.245210390634883E-19	1.3246741304745809E-17	0	0	14.343594441899526	615.9184999266884	CHRM3;RAB3A;CRTC1;CTNND2;WIPF3;ABAT;FAIM2;KNDC1;ENO2;CNDP2;SCAMP5;RIMS2;FAM19A2;FAM19A1;PIP4K2C;BSN;ANKS1B;C11ORF87;RBFOX1;SLC15A2;TSPYL1;UNC5A;SLC6A17;LMO4;HPCAL4;RUNDC3A;GABRG2;RNF41;MAPK8IP1;DKK3;CACNB1;KIAA1217;CACNB2;OLFM1;SLC9A6;SCN8A;MAP7D1;HECW1;EEF1A2;ABCG4;TSPYL4;GPM6A;RTN1;NDRG3;PCDH10;STXBP1;CEND1;CPLX2;NDRG2;ACTR3B;EPB49;CPLX1;KLC2;NEURL;MAP2;VPS8;CASKIN1;TSPAN7;PLXNA4;ANKRD34A;CADM3;CADM4;IQSEC2;RHBDD2;HOOK3;SMARCA2;CORO2B;SNAP91;SYT7;GNAO1;FER;LRFN5;RALYL;DLG1;PPP1R1B;SPATS2L;FXYD7;RLTPR;CNIH2;DPP10;GABRB1;GDI1;FAM57B;KCNC2;DIRAS1;SLC35F1;GRM5;NUDCD3;LRRTM4;LRRTM1;BAI2;SH3BGRL2;SULT4A1;YWHAG;DLGAP4;ANKRD6;ZNF365;PDE4D;KCNAB2;DUSP8;DNM1;SYN1;ANO3;MPPED1;KCNMA1;MAPRE3;PLCB1;VSTM2A;INA;VAMP2;RABGAP1;DCTN1;PHYHIP;MLLT6;KIAA0513;ABLIM2;ZNRF3;SV2B;KIAA1324;SLIT1;ASPDH;CTNNA2;SNCB;CA11;KCNB1;AGK;GAD1;KIAA1045;HTR5A;TUBB4A;GRIN1;NECAP1;PPP2R2C;RAB15;LYRM5;EBAG9;KCNK4;HCN1;CDK5R1
Hypothalamus	137/12937	1.6124968796400173E-18	6.702531653344082E-17	0	0	10.78875	442.0015782513975	CHRM3;RAB3A;CRTC1;CTNND2;WIPF3;ABAT;FAIM2;KNDC1;ENO2;CNDP2;SCAMP5;FAM19A2;FAM19A1;PIP4K2C;BSN;ANKS1B;C11ORF87;RBFOX1;SLC15A2;TSPYL1;UNC5A;SLC6A17;LMO4;HPCAL4;RUNDC3A;GABRG2;RNF41;MAPK8IP1;DKK3;CACNB1;KIAA1217;CACNB2;OLFM1;SLC9A6;SCN8A;MAP7D1;HECW1;EEF1A2;TSPYL4;GPM6A;RTN1;NDRG3;PCDH10;STXBP1;CEND1;CPLX2;NDRG2;ACTR3B;EPB49;CPLX1;KLC2;NEURL;MAP2;VPS8;CASKIN1;TSPAN7;PLXNA4;ANKRD34A;CADM3;CADM4;IQSEC2;RHBDD2;HOOK3;SMARCA2;CORO2B;SNAP91;SYT7;GNAO1;FER;LRFN5;RALYL;DLG1;PPP1R1B;SPATS2L;FXYD7;RLTPR;CNIH2;DPP10;GABRB1;GDI1;FAM57B;KCNC2;DIRAS1;SLC35F1;GRM5;NUDCD3;LRRTM4;LRRTM1;BAI2;SH3BGRL2;SULT4A1;YWHAG;DLGAP4;ANKRD6;ZNF365;PDE4D;KCNAB2;DUSP8;DNM1;SYN1;ANO3;MPPED1;KCNMA1;MAPRE3;PLCB1;VSTM2A;INA;VAMP2;RABGAP1;DCTN1;PHYHIP;MLLT6;KIAA0513;ABLIM2;ZNRF3;SV2B;CAMK2N2;KIAA1324;SLIT1;ASPDH;CTNNA2;SNCB;CA11;KCNB1;AGK;GAD1;KIAA1045;HTR5A;TUBB4A;GRIN1;NECAP1;PPP2R2C;RAB15;LYRM5;EBAG9;HCN1;CDK5R1
Amygdala	88/5279	1.7173387854465317E-18	6.702531653344082E-17	0	0	4.4394143710267775	181.59760015183053	DPP10;GABRB1;RAB3A;GDI1;FAM57B;CTNND2;ABAT;FAIM2;ENO2;CNDP2;SCAMP5;RIMS2;GRM5;LRRTM1;BAI2;SH3BGRL2;PIP4K2C;BSN;SULT4A1;ANKRD6;ZNF365;RBFOX1;TSPYL1;SLC6A17;LMO4;KCNAB2;DUSP8;HPCAL4;RUNDC3A;DNM1;SYN1;MAPK8IP1;DKK3;ANO3;OLFM1;SLC9A6;MPPED1;MAP7D1;EEF1A2;PLCB1;INA;TSPYL4;VAMP2;GPM6A;RTN1;NDRG3;RABGAP1;PCDH10;DCTN1;STXBP1;CEND1;NDRG2;ACTR3B;EPB49;PHYHIP;KIAA0513;SV2B;CAMK2N2;TSPAN7;KIAA1324;SLIT1;CTNNA2;SNCB;ANKRD34A;CA11;IQSEC2;RHBDD2;KCNB1;GAD1;KIAA1045;SMARCA2;CORO2B;TUBB4A;SNAP91;GRIN1;GNAO1;RALYL;DLG1;NECAP1;PPP2R2C;RAB15;LYRM5;PPP1R1B;SPATS2L;FXYD7;RLTPR;CNIH2;EBAG9
Prefrontal cortex	91/5632	1.817635702601785E-18	6.702531653344082E-17	0	0	4.435766992539321	181.1966240623577	CHRM3;GABRB1;RAB3A;GDI1;FAM57B;CTNND2;ABAT;FAIM2;ENO2;CNDP2;SCAMP5;RIMS2;GRM5;BAI2;SH3BGRL2;PIP4K2C;BSN;SULT4A1;ZNF365;RBFOX1;TSPYL1;SLC6A17;LMO4;KCNAB2;DUSP8;HPCAL4;RUNDC3A;GABRG2;DNM1;SYN1;RNF41;MAPK8IP1;DKK3;ANO3;CACNB2;OLFM1;SLC9A6;MPPED1;MAP7D1;EEF1A2;MAPRE3;PLCB1;INA;TSPYL4;VAMP2;GPM6A;RTN1;NDRG3;RABGAP1;PCDH10;DCTN1;STXBP1;CEND1;NDRG2;ACTR3B;EPB49;PHYHIP;KIAA0513;ZNRF3;SV2B;CAMK2N2;TSPAN7;KIAA1324;SLIT1;CTNNA2;SNCB;CA11;CADM3;IQSEC2;RHBDD2;KCNB1;GAD1;KIAA1045;SMARCA2;CORO2B;TUBB4A;SNAP91;GRIN1;GNAO1;RALYL;DLG1;NECAP1;PPP2R2C;RAB15;LYRM5;PPP1R1B;SPATS2L;FXYD7;RLTPR;CNIH2;EBAG9
Subthalamic nucleus	77/4383	1.1143361393573428E-16	3.652546234560179E-15	0	0	4.150231194237821	152.450868483399	DPP10;GABRB1;RAB3A;GDI1;FAM57B;CTNND2;ABAT;FAIM2;ENO2;CNDP2;SCAMP5;RIMS2;BAI2;PIP4K2C;BSN;SULT4A1;ZNF365;RBFOX1;TSPYL1;SLC6A17;LMO4;KCNAB2;HPCAL4;RUNDC3A;DNM1;SYN1;MAPK8IP1;DKK3;OLFM1;SLC9A6;MPPED1;MAP7D1;EEF1A2;MAPRE3;PLCB1;INA;TSPYL4;VAMP2;GPM6A;RTN1;NDRG3;RABGAP1;PCDH10;DCTN1;STXBP1;CEND1;NDRG2;EPB49;PHYHIP;KIAA0513;SV2B;MAP2;CAMK2N2;TSPAN7;CTNNA2;SNCB;CA11;IQSEC2;KCNB1;GAD1;KIAA1045;SMARCA2;CORO2B;TUBB4A;SNAP91;GRIN1;GNAO1;RALYL;DLG1;NECAP1;PPP2R2C;RAB15;PPP1R1B;SPATS2L;FXYD7;RLTPR;EBAG9
Cingulate cortex	81/4839	1.5177018688442234E-16	4.323572188722062E-15	0	0	4.079805440461178	148.60350337167313	DPP10;GABRB1;RAB3A;GDI1;FAM57B;CTNND2;ABAT;FAIM2;ENO2;CNDP2;SCAMP5;RIMS2;LRRTM1;BAI2;SH3BGRL2;PIP4K2C;BSN;SULT4A1;ZNF365;RBFOX1;TSPYL1;SLC6A17;LMO4;KCNAB2;DUSP8;HPCAL4;RUNDC3A;DNM1;SYN1;MAPK8IP1;DKK3;OLFM1;SLC9A6;MPPED1;MAP7D1;HECW1;EEF1A2;MAPRE3;PLCB1;INA;TSPYL4;VAMP2;GPM6A;RTN1;NDRG3;RABGAP1;PCDH10;DCTN1;STXBP1;CEND1;NDRG2;EPB49;PHYHIP;KIAA0513;SV2B;CAMK2N2;TSPAN7;CTNNA2;SNCB;CA11;IQSEC2;RHBDD2;KCNB1;GAD1;KIAA1045;SMARCA2;CORO2B;TUBB4A;SNAP91;GNAO1;RALYL;DLG1;NECAP1;PPP2R2C;RAB15;LYRM5;PPP1R1B;SPATS2L;FXYD7;RLTPR;EBAG9
