Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Convex nasal ridge	4/51	6.825078055362669E-5	0.09432257872511209	0	0	20.619615983393878	197.78998958092387	CENPE;CENPJ;ATP7A;FGFRL1
High forehead	5/134	2.8245903862094264E-4	0.16601111481305098	0	0	9.467413149583692	77.36748263970821	CENPJ;DVL1;PEX10;ATP7A;FGFRL1
Hyperkyphosis	5/157	5.838313143320807E-4	0.16601111481305098	0	0	8.025503573749187	59.75708471801258	ERCC8;ERLIN2;ATP7A;PHF6;FGFRL1
Small head	9/570	7.621986843408599E-4	0.16601111481305098	0	0	4.032155010764637	28.948063757393523	CENPE;CENPJ;ERCC8;AP3B1;PEX10;ATP7A;SPATA5;PHF6;FGFRL1
Kyphosis deformity of spine	5/168	7.928328292374785E-4	0.16601111481305098	0	0	7.479739453154586	53.404578008043984	ERCC8;ERLIN2;ATP7A;PHF6;FGFRL1
Hydronephrosis	4/111	0.001345048979748144	0.16601111481305098	0	0	9.029860952815136	59.69934411319985	PIGN;DVL1;PEX10;ATP7A
Absent earlobe	2/13	0.0013822581525501072	0.16601111481305098	0	0	43.08008658008658	283.64087430205655	CENPE;CENPJ
Retrusion of lower jaw	7/395	0.0015656241131453226	0.16601111481305098	0	0	4.459154378180869	28.803777231650088	CENPE;PIGN;CENPJ;DVL1;PEX10;ATP7A;FGFRL1
Hypoplastic mandible condyle	7/395	0.0015656241131453226	0.16601111481305098	0	0	4.459154378180869	28.803777231650088	CENPE;PIGN;CENPJ;DVL1;PEX10;ATP7A;FGFRL1
Decreased projection of lower jaw	7/395	0.0015656241131453226	0.16601111481305098	0	0	4.459154378180869	28.803777231650088	CENPE;PIGN;CENPJ;DVL1;PEX10;ATP7A;FGFRL1
Decreased projection of mandible	7/395	0.0015656241131453226	0.16601111481305098	0	0	4.459154378180869	28.803777231650088	CENPE;PIGN;CENPJ;DVL1;PEX10;ATP7A;FGFRL1
Other specified iron deficiency anemias	2/14	0.0016081357833763062	0.16601111481305098	0	0	39.48809523809524	254.01426742111903	IREB2;ATP7A
Aplasia/Hypoplasia of the mandible	7/397	0.001611290646144701	0.16601111481305098	0	0	4.4358325219084715	28.52559592859049	CENPE;PIGN;CENPJ;DVL1;PEX10;ATP7A;FGFRL1
Micrognathism	7/400	0.0016817334351539174	0.16601111481305098	0	0	4.40129481109286	28.11516409074448	CENPE;PIGN;CENPJ;DVL1;PEX10;ATP7A;FGFRL1
Robinow Syndrome	2/15	0.0018503664133103928	0.17048042554633086	0	0	36.44871794871795	229.34887761330484	CENPJ;DVL1
Upward slant of palpebral fissure	4/124	0.0020197986195440282	0.17446010576311544	0	0	8.046341463414635	49.925597267769746	CENPJ;DVL1;AP3B1;PEX10
Narrow face	3/63	0.002530717246699197	0.18872513480616715	0	0	11.960240963855421	71.51330091936674	CENPE;CENPJ;ATP7A
Thin face	3/63	0.002530717246699197	0.18872513480616715	0	0	11.960240963855421	71.51330091936674	CENPE;CENPJ;ATP7A
