Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Kartagener Syndrome	17/111	5.5118975255211895E-8	2.8485486411893506E-4	0	0	5.784234854098303	96.67638139811383	RSPH4A;DNAH7;IDUA;DNAH5;DNAH6;DNAJB13;FOXJ1;LRRC6;AK7;ACTB;RSPH1;ERBB2;HYDIN;SDC1;TP53;DNAI1;CCDC40
Multicystic Dysplastic Kidney	13/81	1.1677019464747066E-6	0.003017341829690642	0	0	6.082372322899506	83.08808221738133	BBS2;CHRM3;SETD5;BBS1;IFT172;PEX26;TMEM231;FRAS1;PEX6;TMEM67;TMEM107;NPHP1;B9D1
Ciliary Motility Disorders	11/64	3.887402396907974E-6	0.006696698529073469	0	0	6.5866406419431796	82.05485015684083	RSPH4A;RSPH1;SPEF2;DNAH5;DNAH6;HYDIN;FOXJ1;LRRC6;AK7;DNAI1;CCDC40
Ciliopathies	18/181	1.4135628364086291E-5	0.016698627501283654	0	0	3.5251207631005035	39.36436123832762	BBS2;CEP104;BBS1;RSPH4A;IFT172;DNAH5;LRRC6;ACVR2B;TMEM231;RSPH1;SUFU;TMEM67;NPHP1;TMEM107;HYDIN;B9D1;DNAI1;CCDC40
Low-set, posteriorly rotated ears	16/149	1.6155792861149046E-5	0.016698627501283654	0	0	3.833491012298959	42.29579525440598	RERE;SETD5;INSR;CHD7;COG1;KCNAB2;PEX26;TMEM231;FRAS1;PEX6;TMEM67;ERCC1;NPHP1;TMEM107;OTX2;B9D1
Polynesian Bronchiectasis	8/39	2.143974020083854E-5	0.01846676289298893	0	0	8.158971115327851	87.7110962267594	RSPH4A;RSPH1;DNAH5;HYDIN;DNAJB13;LRRC6;DNAI1;CCDC40
Epileptic encephalopathy	31/468	6.596441154557528E-5	0.04870058269536187	0	0	2.2814645308924484	21.962279164379883	TSEN34;SETD5;CNTNAP2;GABRB1;KCNC1;PIGO;GLDC;HEXA;ROGDI;ATP1A3;HCCS;MTR;PTPN23;KCNT2;AKT1;PDSS2;OTX2;CHRNB2;MBD5;ALG9;MBOAT7;UBE2A;GABRG2;MTOR;GNAO1;COQ4;MAPK10;NDUFS8;KCNMA1;EFHC1;PLCB1
Epidermolysis Bullosa	7/35	8.395413009940719E-5	0.054234368044217045	0	0	7.892332789559544	74.07143722033301	LAD1;JUP;FLII;RPS27A;LDLR;TP53;PLEC
Congenital ocular coloboma (disorder)	12/108	1.3113090755830395E-4	0.07529828114014608	0	0	3.9646381578947367	35.44114713181362	RERE;MAF;SALL2;TMEM67;NPHP1;CHD7;OTX2;HCCS;FADD;TP53;ACTB;TMEM231
Abnormally small eyeball	14/145	1.7068034576152535E-4	0.07670191150994163	0	0	3.394628775854685	29.450842224722148	RERE;CHD7;XYLT2;HCCS;HDAC6;TMEM231;FRAS1;SUFU;TMEM67;ERCC1;TMEM107;TUBGCP6;OTX2;B9D1
Decreased size of eyeball	14/145	1.7068034576152535E-4	0.07670191150994163	0	0	3.394628775854685	29.450842224722148	RERE;CHD7;XYLT2;HCCS;HDAC6;TMEM231;FRAS1;SUFU;TMEM67;ERCC1;TMEM107;TUBGCP6;OTX2;B9D1
Depressed nasal ridge	10/80	1.7810041372277467E-4	0.07670191150994163	0	0	4.522248243559719	39.04130641521923	RERE;SOX3;PDE4D;TMEM67;TMEM107;OTX2;B9D1;KCNAB2;HDAC6;TMEM231
Other specified types of schizophrenia, unspecified	8/53	2.109539034554009E-4	0.08386229023519322	0	0	5.616557734204793	47.53781965115382	MDK;LRRTM1;AKT1;MAP6;PLCB1;CPLX2;YWHAZ;MTOR
Nasal inflammation	4/11	2.536529049796252E-4	0.0936341580667645	0	0	17.971243042671613	148.7936928574804	RSPH1;IDUA;HYDIN;LRRC6
Sclerocornea	6/31	3.290634923957204E-4	0.11337334191340553	0	0	7.565472312703583	60.669488286481595	TMEM67;TMEM107;HCCS;OTX2;B9D1;TMEM231
SCHIZOPHRENIA 1 (disorder)	8/58	3.9833946444651656E-4	0.12723496091473002	0	0	5.05359477124183	39.56058086163955	MDK;LRRTM1;AKT1;MAP6;PLCB1;CPLX2;YWHAZ;MTOR
Decreased corneal diameter	9/74	4.577522413456612E-4	0.12723496091473002	0	0	4.377061563640941	33.65602508019245	SETD5;MAF;JAG1;FLII;TMEM67;TMEM107;OTX2;B9D1;TMEM231
Meckel syndrome type 1	6/33	4.6964709244788757E-4	0.12723496091473002	0	0	7.004343105320304	53.677986600665896	TMEM67;NPHP1;TMEM107;B9D1;MTOR;TMEM231
Endometrial Neoplasms	18/238	4.739263878114725E-4	0.12723496091473002	0	0	2.6040471156750225	19.932570704768395	JUP;CTNNBIP1;MSI1;CASC2;CHD4;SEMA3F;FHIT;MTOR;CCND3;MDK;ARMC3;ERCC1;ERBB2;AKT1;SDC1;SHBG;TP53;EBAG9
Intraductal papillary-mucinous adenoma	3/6	5.528498339752078E-4	0.12723496091473002	0	0	31.40518638573744	235.55221812907826	JAG1;LMO4;GAPDH
Chorioretinal abnormality	6/34	5.555019583260087E-4	0.12723496091473002	0	0	6.75383899488134	50.6243350765127	TMEM67;PEX6;TMEM107;B9D1;PEX26;TMEM231
Microcornea	9/76	5.586238752844186E-4	0.12723496091473002	0	0	4.245963309475536	31.80241024738876	SETD5;MAF;JAG1;FLII;TMEM67;TMEM107;OTX2;B9D1;TMEM231
Microphthalmos	17/222	5.854131574464962E-4	0.12723496091473002	0	0	2.6370181612263885	19.627834348413476	RERE;CHD7;XYLT2;HCCS;HDAC6;TMEM231;RIMS2;MAPK10;FRAS1;SUFU;TMEM67;ERCC1;TMEM107;TUBGCP6;B9D1;OTX2;TP53
Mutism	5/23	5.96019204398975E-4	0.12723496091473002	0	0	8.745257452574526	64.93561506433907	PRDM8;ATP1A3;SMARCA2;ACTB;PLEC
Ulnar polydactyly of fingers	9/77	6.154941994714107E-4	0.12723496091473002	0	0	4.183306055646481	30.92753740299991	BBS2;BBS1;IFT172;SUFU;TMEM67;TMEM107;NPHP1;B9D1;TMEM231
Familial aplasia of the vermis	8/63	7.029329625032053E-4	0.13494251087132056	0	0	4.59298871063577	33.346241830601755	CEP104;IFT172;SUFU;TMEM67;TMEM107;NPHP1;B9D1;TMEM231
Intellectual Disability	105/2503	7.050015080351499E-4	0.13494251087132056	0	0	1.4438488384333223	10.478459503201968	PGAP3;GLDC;IFT172;ROGDI;ACTB;PEX26;RIMS2;SOX3;CDH3;ATCAY;WWC3;AP1S1;AKT1;CHRNB2;ALG9;CACNA2D1;COG1;GABRG2;TMEM135;MAF;TP53;CEP104;PSMD12;FLII;NPHP1;OTX2;NAA50;BBS2;BBS1;FZD3;JAG1;INSR;UBE2A;SMARCA2;TMEM231;COQ4;GNAO1;DLG1;TCN2;PPP1R1B;TUBGCP6;CNTN4;ABCD4;RERE;LAD1;SETD5;CNTNAP2;PIGO;KCNC1;HEXA;CHD7;ARHGAP1;LRRC6;HCCS;MTR;CHD4;PTPN23;LMNB2;SGSH;DHTKD1;CHMP1A;HYDIN;CHAMP1;PDE4D;TCF12;KCNAB2;SYP;SHROOM4;ANO3;NDUFS8;RABEP2;PEX6;KCNMA1;PIGG;PLCB1;ALDOA;CCDC40;PLEC;HDAC4;TSEN34;IDUA;ATP1A3;SPG7;PPOX;AGPAT2;HDAC6;TMEM67;PDSS2;PDE6B;CCT5;MBD5;AGK;MBOAT7;GDAP1;TTC19;MTOR;ARCN1;MAPK10;RSPH1;FRAS1;CAPN10;ERCC1;ERCC8;B9D1;ATP13A2
Neonatal thrombocytopenia (disorder)	4/15	9.503844162354991E-4	0.16479427002502173	0	0	11.433884297520661	79.56433043851612	CACNB2;PGAP3;DNAH5;DNAI1
Lens Opacities	22/339	9.564001267031496E-4	0.16479427002502173	0	0	2.212348205901902	15.380984071857641	BBS2;JAG1;AGK;IFT172;XYLT2;HCCS;NDRG2;ACTB;PEX26;TMEM231;MAF;SUFU;TMEM67;PEX6;ERCC1;TMEM107;AKT1;TUBGCP6;ERCC8;B9D1;OTX2;PDE6B
Hydrocephalus	18/253	9.667051099768765E-4	0.16479427002502173	0	0	2.4359228104898567	16.90924334424636	FZD3;IDUA;DNAH5;MBOAT7;TCF12;HCCS;HMGB1;AK7;HDAC6;SOX3;VANGL2;FRAS1;SUFU;TMEM67;OGDH;HYDIN;TP53;DNAI1
Nystagmus	29/500	9.885105206609275E-4	0.16479427002502173	0	0	1.969963464709496	13.630790407490286	CEP104;CTBP1;IFT172;CHD7;XYLT2;ATP1A3;SPG7;PEX26;LMNB1;SOX3;ATXN2;ATCAY;TMEM67;NPHP1;OTX2;PDE6B;BBS2;BBS1;AGK;TTC19;TMEM231;NDUFS8;PEX6;ERCC1;TUBGCP6;ERCC8;B9D1;ATP13A2;LY6E
Depressed nasal bridge	19/277	0.0010926442260109324	0.17078234361180555	0	0	2.343110320009287	15.978031575699292	RERE;HDAC4;SETD5;JAG1;IDUA;FLII;INSR;PDE4D;CHD7;ATP1A3;UBE2A;KCNAB2;SHROOM4;MTOR;PEX26;MAF;FRAS1;PEX6;AKT1
Mental Retardation	55/1158	0.0011037622518914514	0.17078234361180555	0	0	1.6130344434727493	10.983201055225917	RERE;LAD1;SETD5;CNTNAP2;PIGO;PGAP3;GLDC;IFT172;CHD7;ARHGAP1;MTR;CHD4;ACTB;LMNB2;SGSH;RIMS2;SOX3;ATCAY;CHMP1A;CHAMP1;AP1S1;AKT1;PDE4D;KCNAB2;SYP;SHROOM4;MAF;NDUFS8;RABEP2;PEX6;TP53;HDAC4;CEP104;IDUA;FLII;ATP1A3;AGPAT2;TMEM67;NPHP1;PDE6B;BBS2;BBS1;MBD5;UBE2A;SMARCA2;MTOR;ARCN1;TMEM231;MAPK10;FRAS1;TCN2;TUBGCP6;ERCC8;B9D1;CNTN4
Situs ambiguus	7/53	0.0011889006968872076	0.17078234361180555	0	0	4.799560252500178	32.32372409910442	SESN1;DNAH5;DNAH6;LRRC6;OTX2;DNAI1;ACVR2B
Cerebellar vermis hypoplasia	7/53	0.0011889006968872076	0.17078234361180555	0	0	4.799560252500178	32.32372409910442	RERE;TSEN34;CEP104;TMEM67;NPHP1;B9D1;TMEM231
Mental deficiency	50/1032	0.0012163758787245669	0.17078234361180555	0	0	1.643441597884732	11.030581859209281	RERE;SETD5;CNTNAP2;PIGO;PGAP3;GLDC;IFT172;HEXA;CHD7;MTR;CHD4;ACTB;LMNB2;SGSH;CHMP1A;CHAMP1;AP1S1;AKT1;PDE4D;KCNAB2;SYP;TMEM135;MAF;NDUFS8;PEX6;HDAC4;TSEN34;CEP104;IDUA;FLII;ATP1A3;AGPAT2;TMEM67;NPHP1;PDE6B;BBS2;BBS1;MBD5;UBE2A;SMARCA2;MTOR;ARCN1;TMEM231;MAPK10;FRAS1;TCN2;CAPN10;TUBGCP6;ERCC8;B9D1
