Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Intellectual Disability	196/2503	3.6208040983597724E-10	2.290882753032228E-6	0	0	1.7103606122094277	37.18179411632168	ISCA2;NUP107;PGAP3;PEX26;PPP2R1A;SLC12A6;SIL1;SOX5;NUP214;SMARCC1;ALG9;CYP27A1;LARS2;CLPP;KCNQ2;ZNF711;HPRT1;FREM2;MAOB;CLCNKB;AAAS;PLA2G6;CFP;EPB41L1;APOE;ABCA1;B3GALNT2;BBS2;NAA50;PLK4;NTNG2;HOMER1;MYO5A;SMARCA1;FLI1;SMARCA4;FAM111A;GNPTG;STAG2;LAS1L;QARS;TCN2;CWF19L1;TOP2A;PIGO;ACY1;HEXA;KIF14;HCCS;PTH1R;KIF11;SLC6A1;ARHGAP6;SYNCRIP;SMPD4;DLAT;CTSD;MANBA;PARP1;AHSG;ACTL6A;PABPC5;TCF12;TFB2M;ANO3;CIT;KIF2A;RARB;PIGG;TKT;PAFAH1B3;ARHGEF6;CSTB;GRN;AHCY;IDUA;TMPRSS6;HSD17B4;PAK1;TCOF1;ZSWIM6;EXOSC3;CCT5;BCAP31;GABRA1;MBD5;NUBPL;GAD1;GSS;AGT;LRPPRC;ARCN1;ALDH4A1;CENPE;CENPF;PRKRA;B9D1;PNPLA6;LGR4;BUB1B;BMPER;LEPR;TRAPPC12;NEK2;G6PD;CDKL5;KCTD7;TUFM;ALDH3A2;TMEM135;MAF;SMO;DKC1;FANCD2;SNRNP200;CARS2;RTN2;PSMD12;DNMT1;ITPR1;MTM1;ATXN1;CDH23;NDUFV1;GRIA4;TGFB2;SYT1;PHF10;AUTS2;SRD5A3;DHCR24;UBE2A;MCC;EIF2S2;COQ4;DLG1;DLG2;TMEM237;KIF4A;TUBGCP6;TCF4;FGF13;SLC26A4;RERE;ABCD4;RBM28;GPSM2;DOCK8;FHL1;LRRK1;HMGB3;MTR;GPHN;SGSH;MFSD8;UBTF;ACP5;TNPO2;PPP1R12A;ITGA4;DDX58;CKAP2L;COL25A1;SHROOM2;DARS2;KCNAB2;COASY;NDUFS8;PCCA;POLR1C;NDUFS2;AGXT;FBP1;SHANK1;HDAC4;PNKP;CAMK2A;SLC3A2;SPG7;PPOX;MGAT5B;PDSS2;WASF1;SLC25A22;HSD3B7;TRIT1;DHODH;CLCN5;GALE;POLR3A;FRAS1;ERCC3;CAPN10;ERCC1;ERCC2;ERCC5
Small head	58/570	4.936536985869682E-7	0.0011740272949052413	0	0	2.165243271221532	31.44243201837752	RERE;RBM28;ANKLE2;NUP107;PGAP3;KIF14;BUB1B;HMGB3;HCCS;KIF11;PEX26;CPT2;NARS2;TMEM107;DLAT;SLC12A6;SIL1;CTSD;CDKL5;ALG9;AHSG;CKAP2L;KIF23;KCNAB2;ALG1;CIT;TUFM;KIF2A;POLR1A;DKC1;FANCD2;CLPP;FREM2;TELO2;HDAC4;CTBP1;KATNB1;AAAS;PLK4;BCAP31;ARNT2;MBD5;AUTS2;GAD1;DHCR24;AGT;ARCN1;SMARCA4;CENPE;FRAS1;LAS1L;ERCC3;ERCC1;ERCC2;TUBGCP6;B9D1;TCF4;ERCC5
Mental Retardation	97/1158	1.0226074808859981E-6	0.0011740272949052413	0	0	1.7668245645607175	24.370084791933312	PGAP3;BUB1B;PPP2R1A;LEPR;NEK2;SLC12A6;SIL1;SOX5;G6PD;CDKL5;KCTD7;CYP27A1;ALDH3A2;MAF;SMO;DKC1;FANCD2;KCNQ2;ZNF711;HPRT1;SNRNP200;FREM2;MAOB;CLCNKB;ITPR1;AAAS;PLA2G6;CDH23;APOE;GRIA4;ABCA1;B3GALNT2;BBS2;PLK4;SYT1;AUTS2;HOMER1;SRD5A3;MYO5A;DHCR24;UBE2A;FLI1;SMARCA4;FAM111A;LAS1L;TCN2;TMEM237;KIF4A;CWF19L1;TUBGCP6;TCF4;FGF13;SLC26A4;RERE;RBM28;PIGO;DOCK8;HMGB3;MTR;KIF11;SLC6A1;SGSH;MANBA;PPP1R12A;AHSG;CKAP2L;KCNAB2;CIT;NDUFS8;PCCA;POLR1C;RARB;TKT;PAFAH1B3;ARHGEF6;HDAC4;AHCY;IDUA;TMPRSS6;ZSWIM6;WASF1;BCAP31;GABRA1;MBD5;GAD1;GSS;ARCN1;ALDH4A1;CENPE;GALE;FRAS1;ERCC3;ERCC2;ERCC5;B9D1;PNPLA6;LGR4
Seizures	98/1174	1.0458314637002643E-6	0.0011740272949052413	0	0	1.7605803431636249	24.24442079121063	ANKLE2;NUP107;PGAP3;CLU;PEX26;PPP2R1A;AKT2;SLC12A6;CDKL5;ALG9;ALG1;CYP27A1;ALDH3A2;LARS2;MAF;KCNQ2;HMBS;CTBP1;NOLC1;AAAS;PLA2G6;MTM1;APOE;FGF23;NDUFV1;GRIA4;B3GALNT2;PLK4;EIF2B5;AUTS2;HOMER1;MYO5A;DHCR24;UBE2A;SMARCA4;FAM111A;QARS;KIF4A;ALB;TUBGCP6;TCF4;SERPINI1;FGF13;SLC25A1;RERE;GABRB1;SERPINA1;ACY1;HEXA;PIK3CD;MTR;HCCS;HMGB1;SLC6A1;GPHN;SGSH;CPT2;EIF2B1;CTSD;MANBA;AHSG;CKAP2L;KCNAB2;MMP9;RBL2;GAL;NDUFS8;PCCA;KIF2A;NDUFS2;PIGG;FBP1;HDAC4;CSTB;PNKP;HSD17B4;SPG7;ZSWIM6;BCAP31;GABRA1;ARNT2;MBD5;GABBR1;NUBPL;GAD1;GSS;CCK;AGT;ARCN1;ALDH4A1;RPIA;CENPE;GALE;SGSM3;ERCC1;ERCC2;CCM2;ERCC5
Epilepsy	98/1177	1.171285648869064E-6	0.0011740272949052413	0	0	1.7553910608374685	23.97409291316596	ANKLE2;NUP107;PGAP3;CLU;PEX26;PPP2R1A;AKT2;DPYSL3;LEPR;SLC12A6;CDKL5;ALG9;SLC6A12;ALG1;CYP27A1;ALDH3A2;LARS2;MAF;KCNQ2;HMBS;STX1A;CTBP1;AAAS;PLA2G6;MTM1;APOE;NDUFV1;B3GALNT2;PLK4;EIF2B5;AUTS2;MYO5A;DHCR24;UBE2A;SMARCA4;FAM111A;QARS;KIF4A;ALB;TUBGCP6;CALM3;TCF4;SERPINI1;FGF13;SLC25A1;RERE;GABRB2;GABRB1;ACY1;HEXA;PIK3CD;MTR;SLC35F1;HCCS;HTR2A;HMGB1;SLC6A1;GPHN;SGSH;CPT2;EIF2B1;CTSD;MANBA;AHSG;CKAP2L;KCNAB2;GAL;NDUFS8;PCCA;KIF2A;NDUFS2;PIGG;FBP1;HDAC4;CSTB;PNKP;HAAO;HSD17B4;ZSWIM6;EXOSC3;SLC25A22;GABRA1;ARNT2;MBD5;GABBR1;NUBPL;GAD1;GSS;KCNIP3;ARCN1;ALDH4A1;RPIA;CENPE;ERCC1;ERCC2;CCM2;ERCC5;KCNK3
Global developmental delay	93/1102	1.2607352360581966E-6	0.0011740272949052413	0	0	1.7787612880424195	24.162365131300458	SLC25A1;RERE;ANKLE2;GABRB1;NUP107;PIGO;ACY1;PGAP3;DGKB;DOCK8;COX4I2;KIF14;BUB1B;HMGB3;MTR;KIF11;LIPA;PEX26;MFSD8;BMPER;PPP2R1A;DLAT;SLC12A6;SIL1;SOX5;CDKL5;ALG9;CKAP2L;VPS33A;ALG1;KCNAB2;CIT;NDUFS8;SMO;PCCA;KIF2A;DKC1;FANCD2;KCNQ2;POLR1C;NDUFS2;PIGG;S100A9;CARS2;TELO2;HDAC4;MACF1;AHCY;MAOB;IDUA;CTBP1;PNKP;ITPR1;KATNB1;HSD17B4;AAAS;PLA2G6;CDH23;MBP;EXOSC3;SLC25A22;NDUFV1;B3GALNT2;BBS2;BCAP31;PLK4;GABRA1;ARNT2;AUTS2;NUBPL;GAD1;MYO5A;FLI1;LRPPRC;SMARCA4;RPIA;FAM111A;CENPE;GALE;POLR3A;STAG2;LAS1L;QARS;ERCC3;TMEM237;ERCC1;CWF19L1;ERCC2;TUBGCP6;TCF4;ERCC5;B9D1;SLC26A4
Cognitive delay	84/966	1.2989080234450275E-6	0.0011740272949052413	0	0	1.8332320162107396	24.84760223455704	SLC25A1;RERE;ANKLE2;GABRB1;NUP107;ACY1;PGAP3;DOCK8;COX4I2;KIF14;BUB1B;HMGB3;MTR;KIF11;LIPA;PEX26;MFSD8;BMPER;PPP2R1A;DLAT;SLC12A6;SIL1;SOX5;CDKL5;ALG9;CKAP2L;VPS33A;ALG1;KCNAB2;CIT;NDUFS8;SMO;PCCA;KIF2A;DKC1;FANCD2;KCNQ2;POLR1C;NDUFS2;PIGG;CARS2;TELO2;HDAC4;AHCY;IDUA;CTBP1;ITPR1;KATNB1;HSD17B4;AAAS;PLA2G6;CDH23;EXOSC3;SLC25A22;NDUFV1;B3GALNT2;BBS2;BCAP31;PLK4;GABRA1;ARNT2;AUTS2;NUBPL;GAD1;MYO5A;FLI1;LRPPRC;SMARCA4;RPIA;FAM111A;GALE;POLR3A;QARS;LAS1L;ERCC3;TMEM237;ERCC1;CWF19L1;ERCC2;TUBGCP6;TCF4;ERCC5;B9D1;SLC26A4
Mental deficiency	88/1032	1.6196464285701273E-6	0.0011847945415416328	0	0	1.7958858467333043	23.945089584914278	RERE;RBM28;PIGO;PGAP3;DOCK8;HEXA;BUB1B;HMGB3;MTR;KIF11;SLC6A1;SGSH;PPP2R1A;NEK2;SLC12A6;SIL1;SOX5;MANBA;CDKL5;PARP1;AHSG;CKAP2L;KCNAB2;CIT;KCTD7;CYP27A1;ALDH3A2;TMEM135;MAF;NDUFS8;SMO;PCCA;DKC1;FANCD2;KCNQ2;POLR1C;RARB;ZNF711;HPRT1;SNRNP200;TKT;FREM2;ARHGEF6;HDAC4;AHCY;IDUA;TMPRSS6;CLCNKB;ITPR1;AAAS;PLA2G6;CDH23;ZSWIM6;B3GALNT2;BBS2;BCAP31;PLK4;GABRA1;MBD5;AUTS2;GAD1;GSS;SRD5A3;MYO5A;DHCR24;UBE2A;MCC;FLI1;ARCN1;SMARCA4;ALDH4A1;CENPE;GALE;FRAS1;LAS1L;ERCC3;TCN2;TMEM237;PRKRA;CAPN10;KIF4A;CWF19L1;ERCC2;TUBGCP6;ERCC5;B9D1;PNPLA6;SLC26A4
Leukodystrophy	28/204	1.9272824162335027E-6	0.0011847945415416328	0	0	3.002920774005111	39.51663449775728	ISCA2;MRPS16;HEXA;HSD17B4;PDXP;SPG7;PLA2G6;PEX26;SCP2;EIF2B1;NDUFV1;BCAP31;EIF2B5;NUBPL;DARS2;EIF2S2;YWHAZ;TUFM;CYP27A1;ALDH3A2;NDUFS8;POLR3A;ERCC3;POLR1A;HMBS;POLR1C;ERCC2;NDUFS2
Dull intelligence	82/947	2.05986090674221E-6	0.0011847945415416328	0	0	1.8225912153455321	23.862953670261838	RERE;RBM28;PIGO;PGAP3;DOCK8;BUB1B;HMGB3;MTR;KIF11;SLC6A1;SGSH;PPP2R1A;NEK2;SLC12A6;SIL1;SOX5;MANBA;CDKL5;AHSG;CKAP2L;KCNAB2;CIT;KCTD7;CYP27A1;ALDH3A2;MAF;NDUFS8;SMO;PCCA;DKC1;FANCD2;KCNQ2;POLR1C;RARB;ZNF711;HPRT1;SNRNP200;TKT;FREM2;ARHGEF6;HDAC4;AHCY;IDUA;TMPRSS6;CLCNKB;ITPR1;AAAS;PLA2G6;CDH23;ZSWIM6;B3GALNT2;BBS2;BCAP31;PLK4;GABRA1;MBD5;AUTS2;GAD1;GSS;SRD5A3;MYO5A;DHCR24;UBE2A;FLI1;ARCN1;SMARCA4;ALDH4A1;CENPE;GALE;FRAS1;LAS1L;ERCC3;TCN2;TMEM237;KIF4A;CWF19L1;ERCC2;TUBGCP6;ERCC5;B9D1;PNPLA6;SLC26A4
