Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Frontal bossing	13/216	6.853082426572506E-6	0.02081114502157119	0	0	4.943690492416129	58.78449431863668	CDKN1C;RERE;HDAC4;BRAF;PIK3R1;GNS;EDA2R;HDAC6;MTOR;TBX15;SON;NSD1;PAFAH1B1
Concave bridge of nose	14/275	2.0392025793781526E-5	0.02081114502157119	0	0	4.144955300127714	44.767036889737	CDKN1C;RERE;HDAC4;MEF2C;INSR;BRAF;ABCC9;GNS;ARID1B;SHROOM4;MTOR;MECP2;SON;PEX6
Depressed nasal root/bridge	14/275	2.0392025793781526E-5	0.02081114502157119	0	0	4.144955300127714	44.767036889737	CDKN1C;RERE;HDAC4;MEF2C;INSR;BRAF;ABCC9;GNS;ARID1B;SHROOM4;MTOR;MECP2;SON;PEX6
Depressed nasal bridge	14/277	2.2098375387917376E-5	0.02081114502157119	0	0	4.113012251795522	44.09151792576593	CDKN1C;RERE;HDAC4;MEF2C;INSR;BRAF;ABCC9;GNS;ARID1B;SHROOM4;MTOR;MECP2;SON;PEX6
Mental impairment	11/182	3.3741276540763705E-5	0.025420677745811374	0	0	4.935053319573443	50.81520099293789	MEF2C;DSTYK;COL3A1;ATXN1;NFIA;MAOA;INSR;PEX6;BRAF;TTC19;MTOR
Hypoplastic feet	8/103	7.044462146475419E-5	0.04257666910819963	0	0	6.410118319053447	61.285113522664346	RERE;MECP2;HDAC4;BBS1;COL3A1;SON;SHROOM4;HDAC6
Autistic behavior	6/54	7.911778172482012E-5	0.04257666910819963	0	0	9.464423076923078	89.38743378109675	RERE;MECP2;MEF2C;MAOA;RSRC2;ARID1B
Big calvaria	11/213	1.3884862196676624E-4	0.051292559093870746	0	0	4.1710735779460295	37.04800219610109	MECP2;TBX15;NFIA;NSD1;PEX6;IDS;BRAF;ABCC9;HDAC6;MTOR;FOXP1
Increased size of skull	11/213	1.3884862196676624E-4	0.051292559093870746	0	0	4.1710735779460295	37.04800219610109	MECP2;TBX15;NFIA;NSD1;PEX6;IDS;BRAF;ABCC9;HDAC6;MTOR;FOXP1
Increased head circumference	11/215	1.5071692228979446E-4	0.051292559093870746	0	0	4.129757785467128	36.342311087500775	MECP2;TBX15;NFIA;NSD1;PEX6;IDS;BRAF;ABCC9;HDAC6;MTOR;FOXP1
